"Order","Line","SO# line","Order date","Bill To Location","Ship To Location","Ordered Item"," ","Item Description"," ","Unit Selling Price","Extended Price","Status","*Order Date","Request Date","Promise Date","cs name","Order Type","RBO","unit","Packing Instruction"
"75800146","1.1","75800146-1","6-Apr","VIETNAM JIN CHANG SHOES CO.,LTD","VIETNAM JIN CHANG SHOES CO.,LTD","EB-SHOE-STICKER","1-218375-000-00","EDDIE BAUER, INC.EB-SHOE-STICKER.......","210","1890","396900","Supply Eligible","","12-Apr-22","15-Apr-22","0148751..........","VN GEN - VAT","EDDIE BAUER, INC","VND","0"
"75800142","1.1","75800142-1","6-Apr","SOUTH ISLAND GARMENT SDN.BHD/NO.2468,SOL","VIET TIEN GARMENT CORPORATION","1-251144-001-00","1-251144-001-00","(GPM)NK FOOTWEAR CORPORATION.SDI011C.NK VAS SDI CARTON FTW/APP/EQ.APEQ.trim#182792....","74","0.0824","6.1","Supply Eligible","","15-Apr-22","15-Apr-22","RYONGUYEN..........","VN GEN","NIKE APPAREL","USD","0"
"75800139","1.1","75800139-1","6-Apr","SOUTH ISLAND GARMENT SDN.BHD/NO.2468,SOL","VIET TIEN GARMENT CORPORATION","NIKE VAS JD LABEL","1-170583-000-01","NIKE INC.JDS003..Trim: 170893.....","796","0.01053","8.38","Supply Eligible","","15-Apr-22","15-Apr-22","RYONGUYEN..........","VN GEN","NIKE INC","USD","0"
"75798503","1.1","75798503-1","6-Apr","CONG TY TNHH DUNG CU THE THAO KIEU MINH","CONG TY TNHH DUNG CU THE THAO KIEU MINH","107986","1-115465-000-00","ADIDAS SOURCING LTD.CSUSMRSP.......","3323","422","1402306","Supply Eligible","","14-Apr-22","14-Apr-22","0150359..........","VN GEN - VAT","ADIDAS SOURCING LTD","VND","0"
"75704287","1.1","75704287-1","6-Apr","CONG TY TNHH DAE WOONG VIET NAM","DAE WOONG VN CO.,LTD-VNSHIP70928SH","SNO/SWT/04/21","2-430569-000-00","MARKS & SPENCER.SNO/SWT/04/21.......","1211","197","238567","Production Open","","16-Apr-22","16-Apr-22","0149022............","VN GEN - VAT","MARKS & SPENCER SOLD TO","VND","0"
"75800126","1.1","75800126-1","6-Apr","HA HAE CORPORATION","CONG TY TNHH HA HAE VIET NAM","EC-171285","1-212154-0EC-00","EXPRESS.EC..E-Comm Sticker.....","107","0.012","1.28","Supply Eligible","","8-Apr-22","8-Apr-22","0139922..........","VN GEN","EXPRESS","USD","0"
"75800126","2.1","75800126-2","6-Apr","HA HAE CORPORATION","CONG TY TNHH HA HAE VIET NAM","TT-10-Large Price Ticket-171280","1-236394-000-00","EXPRESS.TT-10-Large Price Ticket.......","107","0.0165","1.77","Supply Eligible","","8-Apr-22","8-Apr-22","0139922..........","VN GEN","EXPRESS","USD","0"
"75807979","1.1","75807979-1","6-Apr","OKTAVA LTD (36/F, Tower Two)","Tay Son Garment Joint Stock Co","UPC/M12396RF","1-257297-000-02","MARKS & SPENCER.UPC/M12396RF.Medium Gloss, coated 80-90gsm......","990","0.07414","73.4","Booked","","19-Apr-22","19-Apr-22","KHOAQUACH............","VN GEN","MARKS & SPENCER SOLD TO","USD","0"
"75807978","1.1","75807978-1","6-Apr","OKTAVA LTD (36/F, Tower Two)","Tay Son Garment Joint Stock Co","UPC/M12396RF","1-257297-000-02","MARKS & SPENCER.UPC/M12396RF.Medium Gloss, coated 80-90gsm......","2160","0.07414","160.14","Booked","","19-Apr-22","19-Apr-22","KHOAQUACH............","VN GEN","MARKS & SPENCER SOLD TO","USD","0"
"75807977","1.1","75807977-1","6-Apr","OKTAVA LTD (36/F, Tower Two)","Tay Son Garment Joint Stock Co","UPC/M12396RF","1-257297-000-02","MARKS & SPENCER.UPC/M12396RF.Medium Gloss, coated 80-90gsm......","2040","0.07414","151.25","Booked","","19-Apr-22","19-Apr-22","KHOAQUACH............","VN GEN","MARKS & SPENCER SOLD TO","USD","0"
"75807976","1.1","75807976-1","6-Apr","OKTAVA LTD (36/F, Tower Two)","Tay Son Garment Joint Stock Co","UPC/M12396RF","1-257297-000-02","MARKS & SPENCER.UPC/M12396RF.Medium Gloss, coated 80-90gsm......","890","0.07414","65.98","Booked","","19-Apr-22","19-Apr-22","KHOAQUACH............","VN GEN","MARKS & SPENCER SOLD TO","USD","0"
